,Title,Cast and crew,director,cast_crew,genres,id
841,Da 5 Bloods,"Spike Lee (director/screenplay); Danny Bilson, Paul De Meo, Kevin Willmott (screenplay); Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Jean Reno, Chadwick Boseman",Spike Lee ," Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Jean Reno, Chadwick Boseman",War Drama,581859
842,Artemis Fowl,"Kenneth Branagh (director); Conor McPherson, Hamish McColl (screenplay); Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Colin Farrell, Judi Dench",Kenneth Branagh ," Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Colin Farrell, Judi Dench",Adventure Fantasy Science Fiction Family Action,475430
843,The King of Staten Island,"Judd Apatow (director/screenplay); Pete Davidson, Dave Sirus (screenplay); Pete Davidson, Marisa Tomei, Bill Burr, Bel Powley, Maude Apatow, Steve Buscemi",Judd Apatow ," Pete Davidson, Marisa Tomei, Bill Burr, Bel Powley, Maude Apatow, Steve Buscemi",Comedy Drama,579583
844,Sniper: Assassin's End,"Kaare Andrews (director); Oliver Thompson (screenplay); Chad Michael Collins, Tom Berenger, Sayaka Akimoto, Lochlyn Munro, Ryan Robbins",Kaare Andrews ," Chad Michael Collins, Tom Berenger, Sayaka Akimoto, Lochlyn Munro, Ryan Robbins",Action,702936
845,You Should Have Left,"David Koepp (director/screenplay); Kevin Bacon, Amanda Seyfried",David Koepp ," Kevin Bacon, Amanda Seyfried",Horror,514593
846,Wasp Network,"Olivier Assayas (director/screenplay); Penélope Cruz, Édgar Ramírez, Gael García Bernal, Ana de Armas, Wagner Moura",Olivier Assayas ," Penélope Cruz, Édgar Ramírez, Gael García Bernal, Ana de Armas, Wagner Moura",Drama History Thriller,451184
847,Feel the Beat,"Elissa Down (director); Sofia Carson, Enrico Colantoni, Wolfgang Novogratz",Elissa Down ," Sofia Carson, Enrico Colantoni, Wolfgang Novogratz",Comedy Music Drama,707886
848,7500,Patrick Vollrath (director/screenplay); Joseph Gordon-Levitt,Patrick Vollrath , Joseph Gordon-Levitt,Action Drama Thriller,509585
849,Athlete A,"Bonni Cohen, Jon Shenk (director)","Bonni Cohen, Jon Shenk ",Bonni Cohen,Documentary,684700
850,Eurovision Song Contest: The Story of Fire Saga,"David Dobkin (director); Will Ferrell, Andrew Steele (screenplay); Will Ferrell, Rachel McAdams, Dan Stevens, Demi Lovato, Pierce Brosnan",David Dobkin ," Will Ferrell, Rachel McAdams, Dan Stevens, Demi Lovato, Pierce Brosnan",Comedy Music,531454
851,Irresistible,"Jon Stewart (director/screenplay); Steve Carell, Chris Cooper, Mackenzie Davis, Topher Grace, Natasha Lyonne, Rose Byrne",Jon Stewart ," Steve Carell, Chris Cooper, Mackenzie Davis, Topher Grace, Natasha Lyonne, Rose Byrne",Comedy Drama,595148
852,My Spy,"Peter Segal (director); Jon Hoeber, Erich Hoeber (screenplay); Dave Bautista, Chloe Coleman, Kristen Schaal, Ken Jeong",Peter Segal ," Dave Bautista, Chloe Coleman, Kristen Schaal, Ken Jeong",Family Action Comedy,592834
853,We Bare Bears: The Movie,"Daniel Chong (director); Mikey Heller, Kris Mukai (screenplay); Eric Edelstein, Bobby Moynihan, Demetri Martin, Marc Evan Jackson, Keith Ferguson",Daniel Chong ," Eric Edelstein, Bobby Moynihan, Demetri Martin, Marc Evan Jackson, Keith Ferguson",Animation Adventure Family Comedy TV Movie,677638
854,Hamilton,"Thomas Kail (director); Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Christopher Jackson, Daveed Diggs, Okieriete Onaodowan, Anthony Ramos, Jasmine Cephas Jones, Jonathan Groff",Thomas Kail ," Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Christopher Jackson, Daveed Diggs, Okieriete Onaodowan, Anthony Ramos, Jasmine Cephas Jones, Jonathan Groff",History Drama,556574
855,Relic,"Natalie Erika James (director/screenplay); Christian White (screenplay); Emily Mortimer, Robyn Nevin, Bella Heathcote",Natalie Erika James ," Emily Mortimer, Robyn Nevin, Bella Heathcote",Horror Drama Mystery Thriller,539181
856,Desperados,"LP (director); Ellen Rapoport (screenplay); Anna Camp, Robbie Amell, Nasim Pedrad, Lamorne Morris, Heather Graham, Sarah Burns",LP ," Anna Camp, Robbie Amell, Nasim Pedrad, Lamorne Morris, Heather Graham, Sarah Burns",Comedy Romance,706510
857,The Old Guard,"Gina Prince-Bythewood (director); Greg Rucka (screenplay); Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor",Gina Prince-Bythewood ," Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor",Action Fantasy,547016
858,Money Plane,"Andrew Lawrence (director/screenplay); Tim Schaaf (screenplay); Adam Copeland, Kelsey Grammer, Thomas Jane, Denise Richards, Katrina Norman, Patrick Lamont Jr., Andrew Lawrence, Joey Lawrence, Matthew Lawrence",Andrew Lawrence ," Adam Copeland, Kelsey Grammer, Thomas Jane, Denise Richards, Katrina Norman, Patrick Lamont Jr., Andrew Lawrence, Joey Lawrence, Matthew Lawrence",Action Crime,694919
859,Greyhound,"Aaron Schneider (director); Tom Hanks (screenplay); Tom Hanks, Stephen Graham, Rob Morgan, Elisabeth Shue",Aaron Schneider ," Tom Hanks, Stephen Graham, Rob Morgan, Elisabeth Shue",War Action Drama,516486
860,Palm Springs,"Max Barbakow (director); Andy Siara (screenplay); Andy Samberg, Cristin Milioti, Peter Gallagher, J. K. Simmons",Max Barbakow ," Andy Samberg, Cristin Milioti, Peter Gallagher, J. K. Simmons",Comedy Romance Science Fiction,587792
861,Fatal Affair,"Peter Sullivan (director/screenplay); Rasheeda Garner (screenplay); Nia Long, Omar Epps, Stephen Bishop, KJ Smith",Peter Sullivan ," Nia Long, Omar Epps, Stephen Bishop, KJ Smith",Thriller,714375
862,The Silencing,"Robin Pront (director); Micah Ranum (screenplay); Annabelle Wallis, Hero Fiennes-Tiffin, Nikolaj Coster-Waldau",Robin Pront ," Annabelle Wallis, Hero Fiennes-Tiffin, Nikolaj Coster-Waldau",Action Thriller,603119
863,A Nice Girl Like You,"The Brothers Riedell (directors); Andrea Marcellus (screenplay); Lucy Hale, Leonidas Gulaptis, Jackie Cruz",The Brothers Riedell ," Lucy Hale, Leonidas Gulaptis, Jackie Cruz",Comedy Romance,718840
864,Ghosts of War,"Eric Bress (director/screenplay); Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson",Eric Bress ," Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson",Horror Thriller War Fantasy,608195
865,Animal Crackers,"Scott Christian Sava, Tony Bancroft (directors); Scott Christian Sava, Dean Lorey (screenplay); John Krasinski, Emily Blunt, Ian McKellen, Danny DeVito, Sylvester Stallone, Raven-Symoné, Patrick Warburton","Scott Christian Sava, Tony Bancroft "," John Krasinski, Emily Blunt, Ian McKellen, Danny DeVito, Sylvester Stallone, Raven-Symoné, Patrick Warburton",Comedy Animation Adventure,315064
866,The Kissing Booth 2,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Maisie Richardson-Sellers, Taylor Perez, Molly Ringwald",Vince Marcello ," Joey King, Joel Courtney, Jacob Elordi, Maisie Richardson-Sellers, Taylor Perez, Molly Ringwald",Comedy Romance,583083
867,The Rental,"Dave Franco (director/screenplay); Joe Swanberg (screenplay); Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss",Dave Franco ," Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss",Horror,587496
868,Deep Blue Sea 3,"John Pogue (director); Dirk Blackman (screenplay); Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster",John Pogue ," Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster",Action Horror Science Fiction,703745
869,Black Is King,"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch (directors); Beyoncé, Yrsa Daley-Ward, Clover Hope, Andrew Morro (screenplay); Beyoncé","Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch ", Beyoncé,Music,719643
870,The Secret: Dare To Dream,"Andy Tennant (director/screenplay); Bekah Brunstetter, Rick Parks (screenplay); Katie Holmes, Josh Lucas, Jerry O'Connell, Celia Weston",Andy Tennant ," Katie Holmes, Josh Lucas, Jerry O'Connell, Celia Weston",Drama Romance,550231
871,Summerland,"Jessica Swale (director/screenplay); Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",Jessica Swale ," Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",Drama War Romance,523977
872,She Dies Tomorrow,"Amy Seimetz (director/screenplay); Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton, Adam Wingard",Amy Seimetz ," Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton, Adam Wingard",Drama,664297
873,An American Pickle,"Brandon Trost (director); Simon Rich (screenplay); Seth Rogen, Sarah Snook",Brandon Trost ," Seth Rogen, Sarah Snook",Comedy Drama,628917
874,The Tax Collector,"David Ayer (director/screenplay); Bobby Soto, Shia LaBeouf, Cinthya Carmona, George Lopez",David Ayer ," Bobby Soto, Shia LaBeouf, Cinthya Carmona, George Lopez",Action Crime Drama,531499
875,Waiting for the Barbarians,"Ciro Guerra (director); J. M. Coetzee (screenplay); Mark Rylance, Johnny Depp, Robert Pattinson, Gana Bayarsaikhan, Greta Scacchi",Ciro Guerra ," Mark Rylance, Johnny Depp, Robert Pattinson, Gana Bayarsaikhan, Greta Scacchi",Drama History,505707
876,Project Power,"Henry Joost, Ariel Schulman (director); Mattson Tomlin (screenplay); Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Machine Gun Kelly, Allen Maldonado, Amy Landecker, Courtney B. Vance, C.J. LeBlanc","Henry Joost, Ariel Schulman "," Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Machine Gun Kelly, Allen Maldonado, Amy Landecker, Courtney B. Vance, C.J. LeBlanc",Action Crime Science Fiction,605116
877,Magic Camp,"Mark Waters (director); Micah Fitzerman-Blue, Noah Harpster, Matt Spicer, Max Winkler, Dan Gregor, Doug Mand (screenplay); Adam DeVine, Gillian Jacobs, Jeffrey Tambor",Mark Waters ," Adam DeVine, Gillian Jacobs, Jeffrey Tambor",Family Fantasy Comedy,454433
878,Spree,"Eugene Kotlyarenko (director); Gene McHugh (screenplay); Joe Keery, Sasheer Zamata, Mischa Barton, John DeLuca",Eugene Kotlyarenko ," Joe Keery, Sasheer Zamata, Mischa Barton, John DeLuca",Thriller Horror Comedy,653598
879,Boys State,"Amanda McBaine, Jesse Moss (directors)","Amanda McBaine, Jesse Moss ",Amanda McBaine,Documentary,653723
880,The One and Only Ivan,"Thea Sharrock (director); Mike White (screenplay); Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez, Ariana Greenblatt, Chaka Khan, Ron Funches, Phillipa Soo, Mike White, Bryan Cranston",Thea Sharrock ," Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez, Ariana Greenblatt, Chaka Khan, Ron Funches, Phillipa Soo, Mike White, Bryan Cranston",Family Comedy Drama,508570
881,Unhinged,"Derrick Borte (director); Carl Ellsworth (screenplay); Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie",Derrick Borte ," Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie",Action Thriller,625568
882,Tesla,"Michael Almereyda (director/screenplay); Ethan Hawke, Eve Hewson, Ebon Moss-Bachrach, Jim Gaffigan, Kyle MacLachlan",Michael Almereyda ," Ethan Hawke, Eve Hewson, Ebon Moss-Bachrach, Jim Gaffigan, Kyle MacLachlan",History Drama,517412
883,Cut Throat City,"RZA (director); Paul Cuschieri (screenplay); Shameik Moore, T.I., Demetrius Shipp Jr., Kat Graham, Wesley Snipes, Terrence Howard, Eiza González, Ethan Hawke",RZA ," Shameik Moore, T.I., Demetrius Shipp Jr., Kat Graham, Wesley Snipes, Terrence Howard, Eiza González, Ethan Hawke",Action Crime Drama Thriller,493065
884,Words on Bathroom Walls,"Thor Freudenthal (director); Nick Naveda (screenplay); Charlie Plummer, Andy García, Taylor Russell, AnnaSophia Robb, Beth Grant, Molly Parker, Walton Goggins",Thor Freudenthal ," Charlie Plummer, Andy García, Taylor Russell, AnnaSophia Robb, Beth Grant, Molly Parker, Walton Goggins",Drama Romance,523781
885,Hard Kill,"Matt Eskandari (director); Chris LaMont, Joe Russo (screenplay); Jesse Metcalfe, Bruce Willis",Matt Eskandari ," Jesse Metcalfe, Bruce Willis",Action Thriller,724989
886,Chemical Hearts,"Richard Tanne (director/screenplay); Austin Abrams, Lili Reinhart",Richard Tanne ," Austin Abrams, Lili Reinhart",Drama Romance,621013
887,Tenet,"Christopher Nolan (director/screenplay); John David Washington, Robert Pattinson, Elizabeth Debicki, Dimple Kapadia, Martin Donovan, Fiona Dourif, Yuri Kolokolnikov, Himesh Patel, Clémence Poésy, Aaron Taylor-Johnson, Michael Caine, Kenneth Branagh",Christopher Nolan ," John David Washington, Robert Pattinson, Elizabeth Debicki, Dimple Kapadia, Martin Donovan, Fiona Dourif, Yuri Kolokolnikov, Himesh Patel, Clémence Poésy, Aaron Taylor-Johnson, Michael Caine, Kenneth Branagh",Action Thriller Science Fiction,577922
888,Bill & Ted Face the Music,"Dean Parisot (director); Chris Matheson, Ed Solomon (screenplay); Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, Anthony Carrigan, Erinn Hayes, Jayma Mays, Holland Taylor, Kid Cudi, William Sadler, Jillian Bell",Dean Parisot ," Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, Anthony Carrigan, Erinn Hayes, Jayma Mays, Holland Taylor, Kid Cudi, William Sadler, Jillian Bell",Comedy Science Fiction Adventure,501979
889,The New Mutants,"Josh Boone (director/screenplay); Knate Lee (screenplay); Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga, Blu Hunt, Henry Zaga, Adam Beach",Josh Boone ," Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga, Blu Hunt, Henry Zaga, Adam Beach",Horror Science Fiction Mystery Action,340102
890,The Personal History of David Copperfield,"Armando Iannucci (director/screenplay); Simon Blackwell (screenplay); Dev Patel, Aneurin Barnard, Peter Capaldi, Morfydd Clark, Daisy May Cooper, Rosalind Eleazar, Hugh Laurie, Tilda Swinton, Ben Whishaw, Paul Whitehouse",Armando Iannucci ," Dev Patel, Aneurin Barnard, Peter Capaldi, Morfydd Clark, Daisy May Cooper, Rosalind Eleazar, Hugh Laurie, Tilda Swinton, Ben Whishaw, Paul Whitehouse",Comedy,520900
891,I'm Thinking of Ending Things,"Charlie Kaufman (director/screenplay); Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis",Charlie Kaufman ," Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis",Drama Mystery Thriller Fantasy,500840
892,Phineas and Ferb the Movie: Candace Against the Universe,"Bob Bowen (director); Dan Povenmire, Jeff ""Swampy"" Marsh, Jon Colton Barry, Jim Bernstein, Joshua Pruett (screenplay); Vincent Martella, Ashley Tisdale, David Errigo Jr., Dee Bradley Baker, Dan Povenmire, Caroline Rhea, Jeff ""Swampy"" Marsh, Alyson Stoner",Bob Bowen ," Vincent Martella, Ashley Tisdale, David Errigo Jr., Dee Bradley Baker, Dan Povenmire, Caroline Rhea, Jeff ""Swampy"" Marsh, Alyson Stoner",Family Animation Science Fiction Comedy TV Movie,594328
893,All Together Now,"Brett Haley (director); Matthew Quick, Matt Basch (screenplay); Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes, Justina Machado, Taylor Richardson, C.S. Lee, Fred Armisen, Carol Burnett",Brett Haley ," Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes, Justina Machado, Taylor Richardson, C.S. Lee, Fred Armisen, Carol Burnett",Drama,615466
894,Rogue,"M. J. Bassett (director/screenplay); Isabel Bassett (screenplay); Megan Fox, Philip Winchester",M. J. Bassett ," Megan Fox, Philip Winchester",Action Thriller Mystery,997120
895,Centigrade,"Brendan Walsh (director/screenplay); Genesis Rodriguez, Vincent Piazza, Louis Cancelmi",Brendan Walsh ," Genesis Rodriguez, Vincent Piazza, Louis Cancelmi",Thriller,680028
896,The Binge,"Jeremy Garelick (director); Jordan VanDina (screenplay); Skyler Gisondo, Eduardo Franco, Dexter Darden, Vince Vaughn",Jeremy Garelick ," Skyler Gisondo, Eduardo Franco, Dexter Darden, Vince Vaughn",Comedy,647265
897,"Love, Guaranteed","Mark Steven Johnson (director); Elizabeth Hackett, Hilary Galanoy (screenplay); Rachael Leigh Cook, Damon Wayans Jr.",Mark Steven Johnson ," Rachael Leigh Cook, Damon Wayans Jr.",Romance Comedy,644090
898,Mulan,"Niki Caro (director); Rick Jaffa, Amanda Silver, Laura Hynek, Elizabeth Martin (screenplay); Liu Yifei, Donnie Yen, Tzi Ma, Jason Scott Lee, Yoson An, Ron Yuan, Gong Li, Jet Li",Niki Caro ," Liu Yifei, Donnie Yen, Tzi Ma, Jason Scott Lee, Yoson An, Ron Yuan, Gong Li, Jet Li",Animation Family Adventure,10674
899,Critical Thinking,"John Leguizamo (director); Dito Montiel (screenplay); John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel, Will Hochman, Corwin Tuggles, Jeffry Batista, Ramses Jimenez, Rachel Bay Jones, Michael K. Williams",John Leguizamo ," John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel, Will Hochman, Corwin Tuggles, Jeffry Batista, Ramses Jimenez, Rachel Bay Jones, Michael K. Williams",Drama,665877
900,The Owners,"Julius Berg (director/screenplay); Mathieu Gompel (screenplay); Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran, Andrew Ellis, Ian Kenny",Julius Berg ," Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran, Andrew Ellis, Ian Kenny",Thriller Horror,659986
901,Guest House,"Sam Macaroni (director/screenplay); Sean Bishop, Troy Duffy (screenplay); Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane, Steve-O, Charlotte McKinney, Mikaela Hoover",Sam Macaroni ," Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane, Steve-O, Charlotte McKinney, Mikaela Hoover",Comedy,594084
902,The Babysitter: Killer Queen,"McG (director/screenplay); Dan Lagana (screenplay); Judah Lewis, Emily Alyn Lind, Jenna Ortega, Robbie Amell, Bella Thorne, Samara Weaving",McG ," Judah Lewis, Emily Alyn Lind, Jenna Ortega, Robbie Amell, Bella Thorne, Samara Weaving",Comedy Horror,623491
903,Unpregnant,"Rachel Lee Goldenberg (director/screenplay); Ted Caplan, Jenni Hendriks, Jennifer Kaytin Robinson, William Parker (screenplay); Haley Lu Richardson, Barbie Ferreira, Alex MacNicoll, Breckin Meyer, Giancarlo Esposito",Rachel Lee Goldenberg ," Haley Lu Richardson, Barbie Ferreira, Alex MacNicoll, Breckin Meyer, Giancarlo Esposito",Drama Comedy,632666
904,The Devil All the Time,"Antonio Campos (director/screenplay); Paulo Campos (screenplay); Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Eliza Scanlen, Mia Wasikowska, Robert Pattinson",Antonio Campos ," Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Eliza Scanlen, Mia Wasikowska, Robert Pattinson",Crime Drama Thriller,499932
905,The Broken Hearts Gallery,"Natalie Krinsky (director/screenplay); Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo, Bernadette Peters",Natalie Krinsky ," Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo, Bernadette Peters",Comedy Romance,616251
906,I Met a Girl,"Luke Eve (director); Glen Dolman (screenplay); Brenton Thwaites, Lily Sullivan, Joel Jackson",Luke Eve ," Brenton Thwaites, Lily Sullivan, Joel Jackson",Romance Drama Comedy,611114
907,Rent-A-Pal,"Jon Stevenson (director/screenplay); Wil Wheaton, Brian Landis Folkins, Kathleen Brady, Amy Rutledge, Adrian Egolf",Jon Stevenson ," Wil Wheaton, Brian Landis Folkins, Kathleen Brady, Amy Rutledge, Adrian Egolf",Horror Thriller,707408
908,Cats & Dogs 3: Paws Unite!,"Sean McNamara (director); Scott Bindley (screenplay); Melissa Rauch, Max Greenfield, George Lopez",Sean McNamara ," Melissa Rauch, Max Greenfield, George Lopez",Comedy Action,726739
909,The Secrets We Keep,"Yuval Adler (director/screenplay); Ryan Covington (screenplay); Noomi Rapace, Joel Kinnaman, Chris Messina",Yuval Adler ," Noomi Rapace, Joel Kinnaman, Chris Messina",Thriller History Drama,615115
910,Antebellum,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe","Gerard Bush, Christopher Renz "," Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Horror,627290
911,The Nest,"Sean Durkin (director/screenplay); Jude Law, Carrie Coon, Charlie Shotwell, Oona Roche, Adeel Akhtar",Sean Durkin ," Jude Law, Carrie Coon, Charlie Shotwell, Oona Roche, Adeel Akhtar",Drama Romance,545237
912,Blackbird,"Roger Michell (director); Christian Torpe (screenplay); Susan Sarandon, Kate Winslet, Mia Wasikowska, Lindsay Duncan, Rainn Wilson, Bex Taylor-Klaus, Sam Neill",Roger Michell ," Susan Sarandon, Kate Winslet, Mia Wasikowska, Lindsay Duncan, Rainn Wilson, Bex Taylor-Klaus, Sam Neill",Drama,536396
913,Lost Girls & Love Hotels,"William Olsson (director); Catherine Hanrahan (screenplay); Alexandra Daddario, Takehiro Hira, Carice van Houten",William Olsson ," Alexandra Daddario, Takehiro Hira, Carice van Houten",Drama,479259
914,Killian & the Comeback Kids,"Taylor A. Purdee (director/screenplay); Taylor A. Purdee, John Donchak, Nathan Purdee, Kassie DePaiva",Taylor A. Purdee ," Taylor A. Purdee, John Donchak, Nathan Purdee, Kassie DePaiva",Drama Music,803708
915,Enola Holmes,"Harry Bradbeer (director); Jack Thorne (screenplay); Millie Bobby Brown, Henry Cavill, Sam Claflin, Adeel Akhtar, Fiona Shaw, Frances de la Tour, Louis Partridge, Susie Wokoma, Helena Bonham Carter",Harry Bradbeer ," Millie Bobby Brown, Henry Cavill, Sam Claflin, Adeel Akhtar, Fiona Shaw, Frances de la Tour, Louis Partridge, Susie Wokoma, Helena Bonham Carter",Mystery Crime Adventure,497582
916,The Trial of the Chicago 7,"Aaron Sorkin (director/screenplay); Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Eddie Redmayne, Noah Robbins, Mark Rylance, Alex Sharp, Jeremy Strong",Aaron Sorkin ," Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Eddie Redmayne, Noah Robbins, Mark Rylance, Alex Sharp, Jeremy Strong",Drama History,556984
917,Ava,"Tate Taylor (director); Matthew Newton (screenplay); Jessica Chastain, John Malkovich, Common, Geena Davis, Colin Farrell, Ioan Gruffudd, Joan Chen",Tate Taylor ," Jessica Chastain, John Malkovich, Common, Geena Davis, Colin Farrell, Ioan Gruffudd, Joan Chen",Horror Thriller Action Adventure Crime Mystery Drama War,927341
918,Kajillionaire,"Miranda July (director/screenplay); Evan Rachel Wood, Richard Jenkins, Debra Winger, Gina Rodriguez",Miranda July ," Evan Rachel Wood, Richard Jenkins, Debra Winger, Gina Rodriguez",Crime Drama Comedy,541305
919,The Last Shift,"Andrew Cohn (director/screenplay); Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill",Andrew Cohn ," Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill",Comedy Drama,653606
920,Secret Society of Second-Born Royals,"Anna Mastro (director); Alex Litvak, Andrew Green (screenplay); Peyton Elizabeth Lee, Skylar Astin, Élodie Yung",Anna Mastro ," Peyton Elizabeth Lee, Skylar Astin, Élodie Yung",Action Adventure Comedy Fantasy,621870
921,She's in Portland,"Marc Carlini (director/screenplay); Patrick Alexander (screenplay); Tommy Dewey, François Arnaud, Minka Kelly",Marc Carlini ," Tommy Dewey, François Arnaud, Minka Kelly",Drama,664498
922,Sightless,"Cooper Karl (director/screenplay); Madelaine Petsch, Alexander Koch",Cooper Karl ," Madelaine Petsch, Alexander Koch",Thriller Horror,733156
923,The Boys in the Band,"Joe Mantello (director); Mart Crowley (screenplay); Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",Joe Mantello ," Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",Drama,597156
924,The Glorias,"Julie Taymor (director/screenplay); Sarah Ruhl (screenplay); Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler",Julie Taymor ," Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler",Drama,519056
925,On the Rocks,"Sofia Coppola (director/screenplay); Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate",Sofia Coppola ," Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate",Drama Comedy,575417
926,Spontaneous,"Brian Duffield (director/screenplay); Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji",Brian Duffield ," Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji",Comedy Horror,604578
927,Vampires vs. the Bronx,"Osmany Rodriguez (director/screenplay); Blaise Hemingway (screenplay); Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham",Osmany Rodriguez ," Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham",Comedy Horror,567971
928,Possessor,"Brandon Cronenberg (director/screenplay); Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh",Brandon Cronenberg ," Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh",Horror Thriller Science Fiction,435615
